numThreads,phase1,phase2,phase3,phase4
2,376676275.2,1036.4,688.0,235057427.0
3,244515278.6,769.8,1893.0,205541802.2
4,178415645.0,476.4,2988.6,166136452.4
5,146631990.0,612.6,3787.0,124586715.8
6,115797513.2,633.6,3345.0,119692249.8
7,100764956.2,1107.2,5094.2,102138072.0
8,87373081.4,841.2,5619.2,90990119.6
9,76277032.2,63.4,5794.4,86000375.2
10,78318553.2,104.0,6238.8,71201364.0
11,64248414.4,85.8,5065.8,75407824.2
12,76869305.4,4087.2,6514.2,69763747.2
13,76813740.0,78.8,9586.4,75787214.4
14,64088490.2,99.2,5243.2,71610035.4
15,59963644.8,271.8,7996.4,62252346.6
16,59300498.4,150.2,6249.8,69501911.4
